Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
AAE;AAE-Aero & Astro Engineering;20000;Ugrad Sophomore Seminar;202620;Spring 2026;001;26216;Marais, Karen;;;;;;;;;;;;;;;;;;;;71.1%;;26.3%;2.6%;
;;20300;Aeromechanics I;202620;Spring 2026;001;10001;Sun, Dengfeng;34.1%;;6.3%;;31.7%;;;19.8%;;;2.4%;;;;1.6%;;;;;;;;4.0%;
;;20400;Aeromechanics II;202620;Spring 2026;002;42578;Agyei, Ronald F.;9.8%;9.8%;2.4%;;12.2%;17.1%;17.1%;8.5%;8.5%;8.5%;1.2%;;3.7%;;;;;;;;;;1.2%;
;;;;;;003;13056;Joshi, Pankaj;6.2%;13.6%;1.2%;;6.2%;14.8%;7.4%;8.6%;6.2%;21.0%;1.2%;;4.9%;;4.9%;;;;;;;;3.7%;
;;;;;;004;23944;Agyei, Ronald F.;7.0%;3.5%;1.8%;;14.0%;24.6%;12.3%;3.5%;10.5%;15.8%;3.5%;1.8%;1.8%;;;;;;;;;;;
;;;;;;005;15208;Joshi, Pankaj;3.7%;11.1%;;;18.5%;18.5%;11.1%;3.7%;7.4%;11.1%;11.1%;;;;3.7%;;;;;;;;;
;;;;;;006;35690;Paulson, Shane C.;7.9%;10.1%;3.4%;;14.6%;14.6%;16.9%;7.9%;4.5%;9.0%;1.1%;1.1%;5.6%;;2.2%;;;;;;;;1.1%;
;;;Aeromechanics II - Honors;202620;Spring 2026;H07;39311;Paulson, Shane C.;20.0%;10.0%;10.0%;;20.0%;20.0%;10.0%;;3.3%;6.7%;;;;;;;;;;;;;;
;;20401;Aeromechanics II Lab;202620;Spring 2026;001;10003;Liu, Sichen;42.9%;19.0%;9.5%;;14.3%;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;002;10004;Glimcher, Matthew S.;5.0%;5.0%;;;50.0%;;25.0%;10.0%;;;5.0%;;;;;;;;;;;;;
;;;;;;006;10008;Sun, Yao;52.9%;;5.9%;;5.9%;5.9%;11.8%;;;;;;;;5.9%;;;;;;;;11.8%;
;;;;;;009;10011;Artang, MaeRianna J.;38.9%;33.3%;;;16.7%;;11.1%;;;;;;;;;;;;;;;;;
;;;;;;011;37250;Pekosh, Jeffrey D.;50.0%;12.5%;18.8%;;6.3%;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;013;43648;Raginsky, Juliet M.;35.0%;20.0%;5.0%;;20.0%;5.0%;5.0%;;;5.0%;5.0%;;;;;;;;;;;;;
;;;;;;015;47686;Artang, MaeRianna J.;18.2%;31.8%;9.1%;;27.3%;4.5%;9.1%;;;;;;;;;;;;;;;;;
;;;;;;017;18954;Sun, Yao;10.5%;10.5%;;;42.1%;5.3%;21.1%;5.3%;;5.3%;;;;;;;;;;;;;;
;;;;;;018;18957;Raginsky, Juliet M.;27.3%;22.7%;9.1%;;18.2%;;22.7%;;;;;;;;;;;;;;;;;
;;;;;;019;23081;Artang, MaeRianna J.;13.6%;4.5%;;;36.4%;18.2%;18.2%;4.5%;;4.5%;;;;;;;;;;;;;;
;;;;;;021;26753;Liu, Sichen;28.6%;9.5%;23.8%;;14.3%;;23.8%;;;;;;;;;;;;;;;;;
;;;;;;022;26755;Pekosh, Jeffrey D.;;5.9%;;;58.8%;;17.6%;;;11.8%;;;;;5.9%;;;;;;;;;
;;;;;;023;26756;Shao, Chuyue;33.3%;6.7%;;;33.3%;6.7%;20.0%;;;;;;;;;;;;;;;;;
;;;;;;024;16227;Shao, Chuyue;57.1%;9.5%;;;19.0%;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;025;16229;Shao, Chuyue;4.5%;13.6%;;;50.0%;;31.8%;;;;;;;;;;;;;;;;;
;;;;;;026;16230;Pekosh, Jeffrey D.;63.2%;21.1%;5.3%;;5.3%;;5.3%;;;;;;;;;;;;;;;;;
;;;;;;027;29981;Zhan, Tianxia;56.3%;37.5%;;;;;6.3%;;;;;;;;;;;;;;;;;
;;;;;;029;39023;Glimcher, Matthew S.;18.2%;13.6%;;;36.4%;13.6%;13.6%;4.5%;;;;;;;;;;;;;;;;
;;25100;Intro Aerospace Design;202620;Spring 2026;001;10013;Paulson, Shane C.;34.0%;44.7%;6.4%;;2.1%;;6.4%;;;;2.1%;;;;2.1%;;;;;;;;2.1%;
;;;;;;002;10021;Chakraborty, Suman;18.4%;55.3%;;;10.5%;2.6%;13.2%;;;;;;;;;;;;;;;;;
;;;;;;003;10586;Burton, Alexander B.;17.6%;47.1%;11.8%;;5.9%;;17.6%;;;;;;;;;;;;;;;;;
;;29199;Cooperative Experience I;202620;Spring 2026;001;59497;Crain, Lisa M.;;;;;;;;;;;;;;;;;;;;90.9%;;9.1%;;
;;30000;Ugrad Junior Seminar;202620;Spring 2026;001;26217;Marais, Karen;;;;;;;;;;;;;;;;;;;;96.5%;;2.8%;0.7%;
;;30100;Sig Anly For Aero Engr;202620;Spring 2026;001;10014;Frazho, Arthur E.;5.5%;15.1%;5.5%;;23.3%;5.5%;9.6%;5.5%;1.4%;17.8%;1.4%;;1.4%;;1.4%;;;;;;;;6.8%;
